Name,Age,Net_Worth,Income Source,Citizenship
Myron Wentz ,82.0,$1.5 B,Fashion & Retail ,St. Kitts and Nevis
Jiangtao Du & family ,52.0,$3.5 B,Manufacturing ,China
Anthony Wood ,56.0,$2.4 B,Technology ,United States
Riju Raveendran ,39.0,$1.3 B,Technology ,India
Yao Liangbo ,53.0,$1 B,Fashion & Retail ,China
Koo Bon-neung ,73.0,$1.1 B,Manufacturing ,South Korea
Eiichi Kuriwada ,75.0,$2.1 B,Logistics ,Japan
Wenjun Dai ,53.0,$1.5 B,Food & Beverage ,China
Sergey Dmitriev ,56.0,$4.1 B,Technology ,Cyprus
Rakesh Jhunjhunwala ,61.0,$5.8 B,Finance & Investments ,India
Vyacheslav Kim ,52.0,$2 B,Finance & Investments ,Kazakhstan
David Walentas ,83.0,$2.3 B,Real Estate ,United States
Zach Perret ,34.0,$1.5 B,Finance & Investments ,United States
Tope Awotona ,40.0,$1.4 B,Technology ,United States
Philip Niarchos ,68.0,$2.8 B,Diversified ,Greece
Steven Tisch ,73.0,$1.2 B,Diversified ,United States
Winarko Sulistyo ,76.0,$1.2 B,Manufacturing ,Indonesia
Terry Gou ,71.0,$6.9 B,Technology ,Taiwan
Jacques D'Amours ,65.0,$2.5 B,Fashion & Retail ,Canada
Carlo Fidani ,67.0,$4.2 B,Real Estate ,Canada
Sam Goi ,75.0,$1.6 B,Food & Beverage ,Singapore
He Zhenggang ,68.0,$1.9 B,Manufacturing ,China
K. Dinesh,68,$2.3B,"software services, Self Made",India
Julia Oetker ,43.0,$3.3 B,Fashion & Retail ,Germany
Miriam Adelson ,76.0,$27.5 B,Gambling & Casinos ,United States
Zhu Yiming ,49.0,$1.7 B,Technology ,China
Robert Fisher ,68.0,$1.2 B,Fashion & Retail ,United States
Kapil & Rahul Bhatia ,,$4.9 B,Service ,India
Renzo Rosso & family ,66.0,$3.5 B,Fashion & Retail ,Italy
He Xiangjian ,79.0,$28.3 B,Manufacturing ,China
Mark Dixon ,62.0,$1.4 B,Real Estate ,United Kingdom
Richard Warke ,,$1.1 B,Metals & Mining ,Canada
Arkady Rotenberg ,70.0,$1.7 B,Construction & Engineering ,Russia
Huang Wenbiao ,54.0,$1.2 B,Food & Beverage ,China
Barry Diller ,80.0,$4.4 B,Media & Entertainment ,United States
Zhaoxi Lu ,53.0,$1.3 B,Technology ,China
Bernard Fraisse & family ,65.0,$2.4 B,Healthcare ,France
Li Ming ,,$1.5 B,Finance & Investments ,China
Nguyen Thi Phuong Thao ,51.0,$3.1 B,Diversified ,Vietnam
Murat Vargi ,74.0,$1.1 B,Telecom ,Turkey
Alexander Tedja ,76.0,$1.2 B,Real Estate ,Indonesia
Glen Taylor ,80.0,$2.5 B,Service ,United States
Helmut Sohmen ,82.0,$3.9 B,Logistics ,Austria
Traudl Engelhorn & family ,95.0,$4.2 B,Healthcare ,Germany
Nihat Ozdemir ,72.0,$1.9 B,Diversified ,Turkey
Yi Zheng ,51.0,$3.1 B,Technology ,China
Alceu Elias Feldmann ,72.0,$2.6 B,Energy ,Brazil
Andrei Kosogov ,61.0,$1.2 B,Energy ,Russia
Yadu Hari Dalmia,75,$2.3B,cement,India
Vinod Saraf ,69.0,$2 B,Manufacturing ,India
Nan Cunhui ,58.0,$3.6 B,Manufacturing ,China
Odd Reitan & family ,70.0,$5.7 B,Fashion & Retail ,Norway
Bill Malhotra ,72.0,$1.8 B,Real Estate ,Canada
Sofie Kirk Kristiansen ,46.0,$8.2 B,Manufacturing ,Denmark
Ramesh Chandra Sharma ,77.0,$1 B,Finance & Investments ,India
Kumar Birla,55,$15.5B,commodities,India
Henry Samueli ,67.0,$7.3 B,Technology ,United States
Lin Shu-hong ,93.0,$7.2 B,Manufacturing ,Taiwan
Ashwin Dani & family ,79.0,$7.7 B,Manufacturing ,India
Sunny Varkey ,64.0,$2.1 B,Service ,India
Mohamed Mansour ,74.0,$2.5 B,Diversified ,Egypt
Gongshan Zhu ,64.0,$3.9 B,Manufacturing ,China
Oleg Boyko ,57.0,$1.3 B,Diversified ,Russia
Horst Wortmann ,80.0,$1.2 B,Fashion & Retail ,Germany
Osman Kibar ,51.0,$2.3 B,Healthcare ,United States
Gordon Moore ,93.0,$9.5 B,Technology ,United States
David Lichtenstein ,60.0,$1.9 B,Real Estate ,United States
Oliver Samwer ,48.0,$1 B,Technology ,Germany
Liu Aisen & family ,49.0,$1.6 B,Construction & Engineering ,China
Cho Young-sik ,60.0,$2.3 B,Healthcare ,South Korea
Katharine Rayner ,77.0,$5.2 B,Media & Entertainment ,United States
Zhang Zhidong ,50.0,$12.8 B,Technology ,China
John Grayken ,65.0,$6.5 B,Finance & Investments ,Ireland
Phillip Frost ,85.0,$2.2 B,Healthcare ,United States
Margarita Louis-Dreyfus & family ,59.0,$3.8 B,Food & Beverage ,Switzerland
Chirayu Amin ,75.0,$1.5 B,Healthcare ,India
Wei Huang ,62.0,$1.3 B,Real Estate ,China
Brad Kelley ,65.0,$2.7 B,Real Estate ,United States
Anthony Bamford & family ,76.0,$5.7 B,Construction & Engineering ,United Kingdom
Yeh Kuo-I ,80.0,$1.2 B,Manufacturing ,Taiwan
Jane Lauder ,49.0,$5.5 B,Fashion & Retail ,United States
"Joe Rogers, Jr. ",75.0,$2 B,Food & Beverage ,United States
Wijono & Hermanto Tanoko ,,$3 B,Manufacturing ,Indonesia
Blair Parry-Okeden ,71.0,$7.8 B,Media & Entertainment ,United States
Sam Tarascio ,77.0,$1.2 B,Real Estate ,Australia
Yusuf Hamied ,85.0,$2.3 B,Healthcare ,India
Nathan Kirsh ,90.0,$5.3 B,Fashion & Retail ,Eswatini (Swaziland)
Fernando Roberto Moreira Salles ,75.0,$1.8 B,Diversified ,Brazil
Arvind Lal ,72.0,$1.6 B,Healthcare ,India
Singh family,pharmaceuticals,$5.65B,"Mumbai, India",
Azim Premji ,76.0,$9.8 B,Technology ,India
Barry Lam ,72.0,$5.9 B,Technology ,Taiwan
Shigefumi Wada & family ,69.0,$1 B,Technology ,Japan
Ion Tiriac ,82.0,$1.6 B,Finance & Investments ,Romania
T.Y. Tsai ,69.0,$2.4 B,Finance & Investments ,Taiwan
Martin Haefner ,68.0,$4.7 B,Technology ,Switzerland
Tench Coxe ,64.0,$1.8 B,Finance & Investments ,United States
Jose Isaac Peres & family ,81.0,$1.1 B,Real Estate ,Brazil
George Argyros & family ,85.0,$2.4 B,Real Estate ,United States
Tom Golisano ,80.0,$5.4 B,Service ,United States
K.C. Liu ,68.0,$2.5 B,Technology ,Taiwan
Michael Dell ,57.0,$55.1 B,Technology ,United States
Sathien Setthasit ,67.0,$1.6 B,Food & Beverage ,Thailand
Vivek Chaand Sehgal,65,$3.6B,"auto parts, Self Made",Australia
Magdalena Martullo-Blocher ,53.0,$7.6 B,Manufacturing ,Switzerland
Jon Yarbrough ,64.0,$3.1 B,Gambling & Casinos ,United States
Ira Rennert ,87.0,$3.7 B,Finance & Investments ,United States
Georg von Opel ,55.0,$1.9 B,Finance & Investments ,Switzerland
Harsh Goenka ,64.0,$2.1 B,Diversified ,India
Luciano Benetton ,86.0,$2.7 B,Fashion & Retail ,Italy
Lloyd Blankfein ,67.0,$1.1 B,Finance & Investments ,United States
Shuirong Li ,65.0,$10.3 B,Manufacturing ,China
David McMurtry ,81.0,$1.5 B,Manufacturing ,United Kingdom
Giovanni Ferrero ,57.0,$36.2 B,Food & Beverage ,Italy
Acharya Balkrishna ,49.0,$1.9 B,Food & Beverage ,India
Nari Genomal ,82.0,$1 B,Fashion & Retail ,Cyprus
Liang Rubo ,39.0,$2.3 B,Technology ,China
Jaroslav Hascak & family ,52.0,$1.3 B,Finance & Investments ,Slovakia
Mukesh Ambani ,64.0,$90.7 B,Diversified ,India
Sergei Kolesnikov ,50.0,$1.1 B,Manufacturing ,Russia
Masayoshi Son ,64.0,$21.3 B,Telecom ,Japan
Martha MacMillan ,70.0,$1.6 B,Food & Beverage ,United States
Xicheng Wang & family ,73.0,$2.8 B,Manufacturing ,China
Dong Jinggui ,52.0,$1.7 B,Automotive ,China
Lirio Parisotto ,68.0,$2.4 B,Finance & Investments ,Brazil
Philip & Cristina Green ,70.0,$2.3 B,Fashion & Retail ,United Kingdom
Rene Benko ,45.0,$5.4 B,Real Estate ,Austria
Lu Yonghua & family ,58.0,$1.3 B,Technology ,China
Ron Sim ,63.0,$1.3 B,Fashion & Retail ,Singapore
"William Wrigley, Jr. ",58.0,$3.5 B,Food & Beverage ,United States
Devi Shetty ,69.0,$1.2 B,Healthcare ,India
Jenny Lindén Urnes ,51.0,$1.4 B,Manufacturing ,Sweden
Igor Makarov ,60.0,$2.1 B,Energy ,Russia
Dominika Kulczyk ,44.0,$1.8 B,Finance & Investments ,Poland
Pablo Legorreta ,58.0,$3.8 B,Finance & Investments ,United States
David Gottesman ,95.0,$3.4 B,Finance & Investments ,United States
Wenzhong Zhang ,60.0,$3.6 B,Fashion & Retail ,China
Abhay Firodia ,77.0,$2.8 B,Automotive ,India
Yvonne Bauer ,45.0,$2.7 B,Media & Entertainment ,Germany
Wang Ren-sheng ,90.0,$2.1 B,Fashion & Retail ,Taiwan
Zheng Xiaodong ,58.0,$2.9 B,Manufacturing ,China
Todd Boehly ,48.0,$4.5 B,Finance & Investments ,United States
Lin Li ,58.0,$6.1 B,Finance & Investments ,China
Zeng Chaolin ,39.0,$1.2 B,Metals & Mining ,China
Mehmet Sinan Tara ,63.0,$1.1 B,Construction & Engineering ,Turkey
Joy Alukkas ,65.0,$1.9 B,Fashion & Retail ,India
Tong Jinquan ,67.0,$1.4 B,Real Estate ,China
Igor Bukhman ,40.0,$8.1 B,Media & Entertainment ,Israel
Brian Chesky ,40.0,$11.5 B,Technology ,United States
Gerry Harvey ,82.0,$2.1 B,Fashion & Retail ,Australia
Valentin Kipyatkov ,45.0,$2.9 B,Technology ,Cyprus
Rutger Arnhult ,54.0,$1.3 B,Real Estate ,Sweden
Robert Toennies ,43.0,$1.8 B,Food & Beverage ,Germany
Fan Zhaoxia & family ,54.0,$1.2 B,Energy ,China
Zong Qinghou ,76.0,$8.8 B,Food & Beverage ,China
Hou Juncheng ,57.0,$2.1 B,Healthcare ,China
Travis Boersma ,51.0,$3.3 B,Food & Beverage ,United States
Danna Azrieli ,54.0,$1.5 B,Real Estate ,Israel
Tseng Cheng ,60.0,$2.7 B,Manufacturing ,Taiwan
Chad Richison ,51.0,$2.5 B,Technology ,United States
Wang Yusuo & family ,58.0,$3 B,Energy ,China
Carl Ferdinand Oetker ,49.0,$3.3 B,Fashion & Retail ,Germany
Robert Kraft ,80.0,$8.3 B,Sports ,United States
Stefano Gabbana ,59.0,$1.5 B,Fashion & Retail ,Italy
Abigail Johnson ,60.0,$21.2 B,Finance & Investments ,United States
Samir Mehta ,58.0,$3.1 B,Healthcare ,India
John Phillips ,71.0,$1.1 B,Finance & Investments ,Canada
Kwee brothers ,,$5.5 B,Real Estate ,Singapore
Alexander Svetakov ,54.0,$2.2 B,Finance & Investments ,Russia
George Jacob Muthoot ,69.0,$1.4 B,Finance & Investments ,India
Anand Deshpande ,59.0,$1.3 B,Technology ,India
Roberto Angelini Rossi ,73.0,$1.8 B,Diversified ,Chile
Oei Hong Leong ,74.0,$1.9 B,Finance & Investments ,Singapore
Zhihan Xu ,49.0,$2 B,Technology ,China
Li Ka-shing ,93.0,$34.8 B,Diversified ,Hong Kong
Subhash Runwal ,78.0,$1.4 B,Real Estate ,India
Hans Langer ,70.0,$2.4 B,Manufacturing ,Germany
Harold Hamm & family ,76.0,$17.2 B,Energy ,United States
Jerry Speyer ,81.0,$3.6 B,Real Estate ,United States
Matthias Reimann-Andersen ,57.0,$5.8 B,Fashion & Retail ,Germany
Keqiang Zhang ,61.0,$1.6 B,Real Estate ,China
Beate Heister & Karl Albrecht Jr. & family ,,$36.8 B,Fashion & Retail ,Germany
Jim Simons ,83.0,$28.6 B,Finance & Investments ,United States
Liu Jincheng & family ,57.0,$8.4 B,Technology ,China
Jude Reyes ,66.0,$7.1 B,Food & Beverage ,United States
Erik Paulsson & family ,80.0,$2.3 B,Real Estate ,Sweden
Harry Triguboff ,89.0,$12.8 B,Real Estate ,Australia
Tran Dinh Long ,61.0,$3.2 B,Manufacturing ,Vietnam
Karl-Johan Persson ,47.0,$1.5 B,Fashion & Retail ,Sweden
"John Menard, Jr. ",82.0,$16.6 B,Fashion & Retail ,United States
Lin Dingqiang & family ,55.0,$1.9 B,Real Estate ,Hong Kong
Dmitry Kamenshchik ,53.0,$1.7 B,Service ,Russia
Denise Coates ,54.0,$5.3 B,Gambling & Casinos ,United Kingdom
Paul Fireman ,78.0,$1.1 B,Fashion & Retail ,United States
Wang Fuji ,,$1.4 B,Healthcare ,China
Peter Kamprad ,58.0,$1.1 B,Finance & Investments ,Sweden
George Kaiser ,79.0,$9.9 B,Energy ,United States
Djoko Susanto ,72.0,$1.9 B,Fashion & Retail ,Indonesia
Dermot Desmond ,71.0,$2.1 B,Finance & Investments ,Ireland
Kim Sang-yeol ,61.0,$1.4 B,Construction & Engineering ,South Korea
Martin Viessmann ,68.0,$1.9 B,Manufacturing ,Germany
Urs Wietlisbach ,60.0,$2.8 B,Finance & Investments ,Switzerland
Lawrence Golub ,62.0,$1.2 B,Finance & Investments ,United States
Leonard Stern ,84.0,$6.2 B,Real Estate ,United States
Rinat Akhmetov ,55.0,$4.2 B,Metals & Mining ,Ukraine
R.G. Chandramogan,73,$2.1B,"dairy, Self Made",India
Maria Helena Moraes Scripilliti & family ,91.0,$4.1 B,Diversified ,Brazil
Sanjit Biswas ,40.0,$1.7 B,Technology ,United States
Arun Bharat Ram ,81.0,$3.3 B,Manufacturing ,India
Mika Anttonen ,55.0,$1.2 B,Energy ,Finland
J. Christopher Flowers ,64.0,$1.2 B,Finance & Investments ,United States
Leonard Lauder ,89.0,$23.1 B,Fashion & Retail ,United States
Norbert Dentressangle ,67.0,$1.7 B,Logistics ,France
Charles Bronfman ,90.0,$2.5 B,Food & Beverage ,Canada
Qiu Jianping & family ,60.0,$2.3 B,Manufacturing ,China
Marius Nacht ,56.0,$1.4 B,Technology ,Israel
Thaksin Shinawatra ,72.0,$2 B,Finance & Investments ,Thailand
Joe Mansueto ,65.0,$5.7 B,Finance & Investments ,United States
Zugen Ni ,65.0,$1.8 B,Manufacturing ,China
Mat Ishbia ,42.0,$4.9 B,Finance & Investments ,United States
Eduardo Eurnekian ,89.0,$1.5 B,Diversified ,Argentina
Chris Britt ,49.0,$2.2 B,Finance & Investments ,United States
Othman Benjelloun & family ,89.0,$1.3 B,Finance & Investments ,Morocco
Li Xiang ,40.0,$3.9 B,Automotive ,China
Yasuhiro Fukushima ,74.0,$1.8 B,Media & Entertainment ,Japan
Huang Li ,58.0,$4.4 B,Technology ,China
Jayshree Ullal ,61.0,$2.1 B,Technology ,United States
Mangal Prabhat Lodha,66,$4.6B,"real estate, Self Made",India
Ian Wood & family ,79.0,$1.7 B,Energy ,United Kingdom
Eric Smidt ,62.0,$5.5 B,Fashion & Retail ,United States
Mahendra Choksi,81,$6.7B,paints,India
Trevor Rees-Jones ,70.0,$4.5 B,Energy ,United States
Ryan Cohen ,36.0,$2.1 B,Finance & Investments ,Canada
Maria Grace Uy ,53.0,$1.2 B,Telecom ,Philippines
Gaiteng Li ,49.0,$3.1 B,Manufacturing ,China
Denise York & family ,71.0,$4 B,Sports ,United States
Anton Rabie ,50.0,$1.1 B,Manufacturing ,Canada
Bennett Dorrance ,76.0,$2.8 B,Food & Beverage ,United States
Peter Jackson ,60.0,$1.5 B,Media & Entertainment ,New Zealand
Petter Stordalen & family ,59.0,$1.2 B,Service ,Norway
Byju Raveendran and Divya Gokulnath ,40.0,$3.6 B,Technology ,India
Karen Virginia Beckmann Legoretta ,52.0,$2.8 B,Food & Beverage ,Mexico
William Lauder ,61.0,$3.7 B,Fashion & Retail ,United States
Chen Kaichen ,,$1.9 B,Manufacturing ,China
Xie Weitong ,65.0,$2.8 B,Metals & Mining ,Taiwan
Ezra Nahmad ,76.0,$1.5 B,Finance & Investments ,Monaco
Xu Guozhong & family ,58.0,$1.6 B,Manufacturing ,China
Charles Ergen ,69.0,$8.7 B,Media & Entertainment ,United States
Patrick Lee ,80.0,$4 B,Manufacturing ,Hong Kong
Enhua Mi ,64.0,$2.5 B,Fashion & Retail ,China
Huang Shilin ,55.0,$20.3 B,Automotive ,China
Juan Abello ,80.0,$2.9 B,Finance & Investments ,Spain
John Sall ,74.0,$3.3 B,Technology ,United States
Jamshyd Godrej ,73.0,$2.5 B,Diversified ,India
Erwin Franz Mueller ,89.0,$2.3 B,Fashion & Retail ,Germany
Hiroshi Mikitani ,57.0,$5.1 B,Fashion & Retail ,Japan
Trudy Cathy White ,66.0,$4.6 B,Food & Beverage ,United States
Federico De Nora ,54.0,$2.6 B,Manufacturing ,Italy
Giuliana Benetton ,84.0,$2.7 B,Fashion & Retail ,Italy
Larry Fink ,69.0,$1 B,Finance & Investments ,United States
William Heinecke ,72.0,$1.7 B,Real Estate ,Thailand
Richard Liu ,48.0,$10.5 B,Technology ,China
Ronnen Harary ,50.0,$1.1 B,Manufacturing ,Canada
Mitchell Rales ,65.0,$5.8 B,Manufacturing ,United States
Ermirio Pereira de Moraes & family ,89.0,$4.1 B,Diversified ,Brazil
Emanuele (Lino) Saputo & family ,85.0,$4.8 B,Food & Beverage ,Canada
Juan Domingo Beckmann Legorreta & family ,54.0,$4.1 B,Food & Beverage ,Mexico
Liang Yunchao ,53.0,$3 B,Food & Beverage ,China
Ajay Piramal ,66.0,$4.2 B,Healthcare ,India
Huang Jinxiang & family ,57.0,$1 B,Manufacturing ,China
Ivar Tollefsen ,60.0,$6 B,Real Estate ,Norway
Rubens Ometto Silveira Mello ,72.0,$2.3 B,Energy ,Brazil
Mikhail Gutseriev & brother ,64.0,$1.3 B,Energy ,Russia
Karin Sartorius-Herbst ,,$2.5 B,Healthcare ,Germany
Lim Kok Thay ,70.0,$2 B,Gambling & Casinos ,Malaysia
Laurent Dassault ,68.0,$8.4 B,Diversified ,France
James Packer ,54.0,$3.8 B,Gambling & Casinos ,Australia
Thomas Straumann ,58.0,$5.6 B,Healthcare ,Switzerland
Deniz Sahenk ,76.0,$1.3 B,Diversified ,Turkey
Duncan MacMillan ,84.0,$1.6 B,Finance & Investments ,United States
Jim Kennedy ,74.0,$7.8 B,Media & Entertainment ,United States
Eddy Kusnadi Sariaatmadja ,68.0,$3 B,Media & Entertainment ,Indonesia
Thomas Schmidheiny ,76.0,$4.9 B,Construction & Engineering ,Switzerland
Beda Diethelm ,81.0,$2.8 B,Healthcare ,Switzerland
David Thomson & family ,64.0,$49.2 B,Media & Entertainment ,Canada
Dan Olsson ,75.0,$2.7 B,Diversified ,Sweden
Michael Ashcroft ,76.0,$2.2 B,Finance & Investments ,United Kingdom
Peter-Alexander Wacker ,70.0,$1 B,Manufacturing ,Germany
Marc Rowan ,59.0,$4.8 B,Finance & Investments ,United States
Daniel Loeb ,60.0,$4.2 B,Finance & Investments ,United States
Kwek Leng Beng ,81.0,$2.8 B,Diversified ,Singapore
Dong Wei ,51.0,$2.6 B,Healthcare ,China
Tsai Cheng-ta ,72.0,$5 B,Finance & Investments ,Taiwan
Daniel Tsai ,65.0,$4.9 B,Finance & Investments ,Taiwan
Laurent Junique ,56.0,$1.2 B,Technology ,France
Daniel Kretinsky ,46.0,$5.4 B,Energy ,Czechia
Nancy Walton Laurie ,70.0,$8.1 B,Fashion & Retail ,United States
Dieter Schwarz ,82.0,$47.1 B,Fashion & Retail ,Germany
Chung Yong-jin ,53.0,$1.5 B,Fashion & Retail ,South Korea
Candido Pinheiro Koren de Lima Junior ,51.0,$1.6 B,Healthcare ,Brazil
T. Denny Sanford ,86.0,$3.4 B,Finance & Investments ,United States
Chin Jong Hwa ,63.0,$1.4 B,Automotive ,Taiwan
David Penaloza Alanis ,48.0,$1.2 B,Construction & Engineering ,Mexico
Kim Nam-jung ,49.0,$1.3 B,Food & Beverage ,South Korea
Song Fei ,55.0,$2.1 B,Manufacturing ,China
Mengquan Sun & family ,72.0,$2.3 B,Food & Beverage ,China
Geng Jianming ,59.0,$1.5 B,Real Estate ,China
Steve Wynn ,80.0,$3.3 B,Gambling & Casinos ,United States
James Clark ,78.0,$3.2 B,Technology ,United States
Kapil & Rahul Bhatia,"airlines, Self Made",$5B,"Delhi, India","Bachelor of Science in Engineering, University of Waterloo"
Jiang Xuefei & family ,52.0,$1.1 B,Technology ,China
Deng Weiming & family ,53.0,$7 B,Manufacturing ,China
Anurang Jain,60,$2.7B,"auto parts, Self Made",India
Stefan Pierer ,65.0,$1.2 B,Automotive ,Austria
Marie Besnier Beauvalot ,41.0,$8.2 B,Food & Beverage ,France
Xue Hua ,52.0,$3.5 B,Manufacturing ,China
Zhu Yan & family ,,$3 B,Real Estate ,China
Kevin Systrom ,38.0,$1.5 B,Technology ,United States
Keeree Kanjanapas ,71.0,$1.9 B,Real Estate ,Thailand
Zhang Guiping & family ,70.0,$1.3 B,Real Estate ,China
Evan Williams ,50.0,$2 B,Technology ,United States
Sehat Sutardja ,60.0,$1.3 B,Technology ,United States
Tor Peterson ,57.0,$2.7 B,Metals & Mining ,United States
Binny Bansal ,39.0,$1.3 B,Technology ,India
Meg Whitman ,65.0,$3.4 B,Technology ,United States
Kim Jung-woong ,47.0,$1.1 B,Fashion & Retail ,South Korea
Ranjan Pai ,49.0,$1.4 B,Service ,India
Jean (Gigi) Pritzker ,59.0,$4 B,Service ,United States
Nandan Nilekani ,66.0,$3.4 B,Technology ,India
Christian Angermayer ,43.0,$1.2 B,Finance & Investments ,Germany
Erik Selin ,54.0,$4.9 B,Real Estate ,Sweden
Sean Parker ,42.0,$2.8 B,Technology ,United States
Kushal Pal Singh,91,$9.5B,real estate,India
Zygmunt Solorz-Zak ,65.0,$2.9 B,Media & Entertainment ,Poland
Alex Atallah ,30.0,$2.2 B,Technology ,United States
Carlos Rodriguez-Pastor ,62.0,$5.2 B,Finance & Investments ,Peru
Benjamin Zhengmin Pan & family ,52.0,$1.9 B,Technology ,China
J. Hyatt Brown ,84.0,$2.6 B,Finance & Investments ,United States
Hoi Kin Hong ,69.0,$1.9 B,Real Estate ,Macau
Zadik Bino & family ,78.0,$1.7 B,Diversified ,Israel
W. Herbert Hunt ,93.0,$4.3 B,Energy ,United States
"Karl Scheufele, III. & family ",83.0,$1.1 B,Fashion & Retail ,Switzerland
Peter Lim ,68.0,$2.4 B,Finance & Investments ,Singapore
Robert Friedland ,71.0,$2.2 B,Metals & Mining ,United States
John Hancock ,46.0,$2.2 B,Metals & Mining ,Australia
Mark Leonard & family ,65.0,$2.5 B,Technology ,Canada
Yao Kuizhang ,57.0,$1.7 B,Food & Beverage ,China
Gretel Packer ,56.0,$1.9 B,Media & Entertainment ,Australia
Jin Lei ,56.0,$1.5 B,Healthcare ,China
Robert Miller ,88.0,$2 B,Fashion & Retail ,United Kingdom
Chen Tianqiao ,48.0,$1.4 B,Technology ,China
Xu Jinfu ,58.0,$5.6 B,Manufacturing ,China
Christian Haub ,57.0,$4.4 B,Fashion & Retail ,Germany
Brad Jacobs ,65.0,$3.7 B,Logistics ,United States
Alberto Prada ,68.0,$1.7 B,Fashion & Retail ,Italy
Karsanbhai Patel,78,$3B,"consumer goods, Self Made",India
Sara Blakely ,51.0,$1.1 B,Fashion & Retail ,United States
Chen Qiongxiang ,,$2.5 B,Energy ,China
John Armitage ,62.0,$2.9 B,Finance & Investments ,Ireland
Lv Yongxiang ,72.0,$1.1 B,Manufacturing ,China
Henry Engelhardt ,64.0,$1.5 B,Finance & Investments ,United States
Rocco Commisso ,72.0,$6.1 B,Telecom ,United States
Xu Chuanhua & family ,87.0,$2.8 B,Manufacturing ,China
Chen Xuehua ,61.0,$2.1 B,Metals & Mining ,China
Alexander Skorobogatko ,54.0,$2 B,Logistics ,Russia
Yuri Shefler ,54.0,$1.5 B,Food & Beverage ,Russia
David Hains ,91.0,$2.1 B,Finance & Investments ,Australia
Joop van den Ende ,80.0,$1.3 B,Media & Entertainment ,Netherlands
Turgay Ciner ,66.0,$1.1 B,Diversified ,Turkey
Jean Salata ,56.0,$2.9 B,Finance & Investments ,Chile
Feng Yuxia ,57.0,$1.5 B,Healthcare ,China
Radhe Shyam Agarwal ,77.0,$1.4 B,Fashion & Retail ,India
Mark Walter ,61.0,$4.3 B,Finance & Investments ,United States
Lin Zhixiong & family ,48.0,$1.3 B,Healthcare ,China
Akio Nitori ,78.0,$4 B,Fashion & Retail ,Japan
Anant Asavabhokhin ,71.0,$1.3 B,Real Estate ,Thailand
Jeff Skoll ,57.0,$4.8 B,Technology ,United States
Jiang Bin ,55.0,$6.9 B,Technology ,China
Lin Chen-hai ,75.0,$2.8 B,Real Estate ,Taiwan
Genhuo Shao ,56.0,$2 B,Food & Beverage ,China
Li Xiting ,71.0,$17.6 B,Healthcare ,Singapore
Chip Wilson ,65.0,$5.3 B,Fashion & Retail ,Canada
Kenneth Hao ,53.0,$1.5 B,Finance & Investments ,United States
Masateru Uno & family ,75.0,$2.9 B,Fashion & Retail ,Japan
Gabriel Escarrer ,87.0,$1.1 B,Service ,Spain
Jose Roberto Ermirio de Moraes ,64.0,$1.3 B,Diversified ,Brazil
Liang Qin & family ,50.0,$2.4 B,Technology ,China
Chandrakant & Rajendra Gogri,"chemicals, Self Made",$2.1B,"Mumbai, India","Bachelor of Science in Engineering, University of Mumbai"
Rainer Blickle ,74.0,$5.7 B,Manufacturing ,Germany
Jorge Perez ,72.0,$1.7 B,Real Estate ,United States
Bajaj brothers ,,$8.6 B,Diversified ,India
Ye Xiaoping ,59.0,$2.8 B,Healthcare ,China
Ernesto Bertarelli ,56.0,$8.5 B,Healthcare ,Switzerland
Jane Goldman ,66.0,$2.9 B,Real Estate ,United States
Walter P.J. Droege ,69.0,$4.3 B,Finance & Investments ,Germany
Dirk Stroeer ,53.0,$1.1 B,Media & Entertainment ,Germany
Xu Shijun & family ,59.0,$1.8 B,Manufacturing ,China
Howard Marks ,75.0,$2.2 B,Finance & Investments ,United States
"John, Alan & Bruce Wilson ",,$6 B,Fashion & Retail ,Australia
Udo & Harald Tschira ,,$4 B,Technology ,Germany
Timur Turlov ,34.0,$2.4 B,Finance & Investments ,Kazakhstan
Rolf Gerling ,67.0,$1.7 B,Finance & Investments ,Germany
Falguni Nayar ,59.0,$4.5 B,Fashion & Retail ,India
Francis Choi ,74.0,$8.1 B,Real Estate ,Hong Kong
Teresita Sy-Coson ,71.0,$2.4 B,Diversified ,Philippines
"Chase Coleman, III. ",46.0,$10.3 B,Finance & Investments ,United States
Alicia Koplowitz ,68.0,$2.7 B,Finance & Investments ,Spain
Christian Herz ,,$1.1 B,Finance & Investments ,Germany
Stefania Triva ,57.0,$1.2 B,Healthcare ,Italy
Vikram Lal & family ,80.0,$4.3 B,Automotive ,India
Alessandra Garavoglia ,62.0,$3.1 B,Food & Beverage ,Italy
Fenggang Zhao ,56.0,$2.9 B,Energy ,China
Koon Poh Keong ,60.0,$5.2 B,Manufacturing ,Malaysia
John MacMillan ,72.0,$1.6 B,Food & Beverage ,United States
Li Wa ,56.0,$2.2 B,Real Estate ,Hong Kong
Li Ge ,55.0,$8.8 B,Healthcare ,United States
Friederike Braun-Luedicke ,38.0,$1.2 B,Healthcare ,Germany
Wang Yanqing & family ,55.0,$5.1 B,Manufacturing ,China
James Ratcliffe ,69.0,$16.3 B,Manufacturing ,United Kingdom
Reinhold Wuerth & family ,86.0,$19 B,Manufacturing ,Germany
Wong Luen Hei ,60.0,$3.7 B,Manufacturing ,China
Mahendra Choksi & family ,80.0,$5.9 B,Manufacturing ,India
Hary Tanoesoedibjo ,56.0,$1.5 B,Media & Entertainment ,Indonesia
