Name,Age,Net_Worth,Income Source,Citizenship
Anu Aga ,79.0,$1.9 B,Construction & Engineering ,India
Ding Shizhong & family ,51.0,$7.8 B,Fashion & Retail ,China
Theodore Rachmat ,78.0,$3.3 B,Diversified ,Indonesia
Tahir & family ,70.0,$2.6 B,Diversified ,Indonesia
Sergey Brin ,48.0,$107 B,Technology ,United States
Riaz Valani ,45.0,$2.2 B,Finance & Investments ,United States
Ananda Krishnan ,84.0,$5.7 B,Telecom ,Malaysia
Larry Robbins ,52.0,$1.9 B,Finance & Investments ,United States
Saket Burman ,45.0,$1.7 B,Food & Beverage ,United Kingdom
Joe Gebbia ,40.0,$10 B,Technology ,United States
Carlos Alberto Sicupira & family ,74.0,$8.5 B,Food & Beverage ,Brazil
Ruan Xueping ,50.0,$5.8 B,Manufacturing ,Hong Kong
Conni Jonsson ,61.0,$1.5 B,Finance & Investments ,Sweden
"Theo Albrecht, Jr. & family ",71.0,$18.7 B,Fashion & Retail ,Germany
Cheng Lili ,57.0,$1.2 B,Food & Beverage ,China
Weiguo Zhao ,55.0,$2.8 B,Technology ,China
Rudolf Maag ,76.0,$5.3 B,Healthcare ,Switzerland
Chris Larsen ,61.0,$4.3 B,Finance & Investments ,United States
Wu Ying ,57.0,$2.1 B,Manufacturing ,China
Jim Davis ,62.0,$4.3 B,Service ,United States
Giuseppe Crippa & family ,86.0,$3.2 B,Manufacturing ,Italy
Robert Toll ,81.0,$1.1 B,Real Estate ,United States
Nadir Godrej ,71.0,$2.5 B,Diversified ,India
Wang Junlin ,59.0,$4.8 B,Food & Beverage ,China
Yves-Loic Martin ,56.0,$1.8 B,Healthcare ,France
Lee Joon-ho ,57.0,$1.5 B,Technology ,South Korea
Surjit Kumar Gupta ,80.0,$1.8 B,Manufacturing ,India
James Jannard ,72.0,$2.8 B,Fashion & Retail ,United States
Dan Friedkin ,57.0,$4.3 B,Automotive ,United States
Micky Jagtiani ,70.0,$3.3 B,Fashion & Retail ,India
Salil Singhal ,74.0,$2.4 B,Manufacturing ,India
Diane Kemper ,76.0,$2.8 B,Real Estate ,United States
Mikhail Shelkov ,53.0,$1.5 B,Metals & Mining ,Russia
Mitchell Goldhar ,60.0,$3.1 B,Real Estate ,Canada
Nandan Nilekani,67,$2.9B,"software services, Self Made",India
Kagemasa Kozuki ,81.0,$1.6 B,Technology ,Japan
Alejandro Bailleres Gual & siblings ,61.0,$6.7 B,Diversified ,Mexico
David Mindus ,50.0,$2.1 B,Real Estate ,Sweden
Hinduja brothers ,,$12.7 B,Diversified ,United Kingdom
Zhang Kapeng ,57.0,$1 B,Construction & Engineering ,China
David Xueling Li ,49.0,$1.6 B,Technology ,China
Deng Yingzhong ,71.0,$1.4 B,Manufacturing ,China
Richard Desmond ,70.0,$1.3 B,Media & Entertainment ,United Kingdom
Jiang Guiting & family ,63.0,$1.3 B,Manufacturing ,China
Yogesh Kothari ,73.0,$1.4 B,Manufacturing ,India
Hang Hong ,54.0,$1.3 B,Manufacturing ,China
German Larrea Mota Velasco & family ,68.0,$30.8 B,Metals & Mining ,Mexico
Kaitian Zeng ,47.0,$1.7 B,Technology ,China
Yu Yong ,61.0,$4.7 B,Finance & Investments ,China
Xu Shugen ,56.0,$2.1 B,Manufacturing ,China
Xu Zhenhua ,,$1.5 B,Media & Entertainment ,China
Theo Mueller ,82.0,$4.8 B,Food & Beverage ,Germany
Shaul Shani ,67.0,$4.1 B,Telecom ,Israel
Guo Guangchang ,55.0,$4.5 B,Diversified ,China
Mortimer Zuckerman ,84.0,$3 B,Real Estate ,United States
Tang Yiu ,88.0,$2.4 B,Fashion & Retail ,Hong Kong
Joao Alves de Queiroz Filho ,69.0,$1.1 B,Diversified ,Brazil
Zheng Hong & family ,71.0,$1.7 B,Technology ,China
"Edward DeBartolo, Jr. ",75.0,$2.7 B,Real Estate ,United States
Joachim Ante ,39.0,$1.5 B,Technology ,Germany
Anurang Jain ,60.0,$1.6 B,Manufacturing ,India
